,Group,Day,Number Rat,Step Params,Angle Params,Count Step,Average Time Step,Total Time Step(%),Step Height,Max Angel,Min Angel
0,Intact,,1,30,15,252,16.61904761904762,34.80139604454047,0,89.70901360544204,62.811734693877575
1,Intact,,2,30,10,188,27.77659574468085,41.264322402212564,0,84.02693768996964,49.6904255319149
2,Intact,,3,25,15,210,24.042857142857144,46.23203003387968,0,86.85452380952378,63.213333333333345
3,Intact,,4,25,15,251,20.083665338645417,43.903501132206934,0,83.06627774615819,48.69726807057485
4,Intact,,5,25,15,149,24.16778523489933,32.807944606414,0,82.42109300095879,58.58494726749761
5,SCI,3,10,50,10,0,0.0,0.0,0,,
6,SCI,3,1,25,5,26,30.115384615384617,7.243293246993525,0,167.28571428571425,162.37142857142857
7,SCI,3,2,30,8,25,27.96,6.455485777613594,0,164.65914285714288,155.70742857142855
8,SCI,3,3,30,10,4,20.0,0.7401924500370096,0,170.14285714285714,163.81785714285712
9,SCI,3,4,30,10,0,0.0,0.0,0,,
10,SCI,3,5,30,10,1,20.0,0.18501387604070307,0,169.62142857142857,147.8142857142857
11,SCI,3,6,30,8,6,25.0,1.3868343195266273,0,171.0297619047619,159.35
12,SCI,3,7,50,10,38,37.39473684210526,13.147668393782382,0,164.12819548872184,116.88646616541354
13,SCI,3,8,50,10,36,27.02777777777778,8.997595709265767,0,156.5855158730159,123.38214285714285
14,SCI_TMT,3,10,30,8,252,21.1984126984127,45.12586585571887,0,136.73137755102027,75.07335600907034
15,SCI_TMT,3,1,50,10,23,36.869565217391305,6.687697160883281,0,168.40993788819878,143.04099378881983
16,SCI_TMT,3,2,50,10,12,20.5,2.144725370531822,0,133.46964285714284,74.76666666666667
17,SCI_TMT,3,3,50,10,2,29.0,0.47728768926925613,0,157.52499999999998,149.77142857142857
18,SCI_TMT,3,4,50,10,13,27.615384615384617,2.76749922910885,0,172.95714285714286,124.08131868131866
19,SCI_TMT,3,5,10,8,24,20.083333333333332,5.746304244158321,0,175.45982142857142,142.81249999999994
20,SCI_TMT,3,6,30,8,10,24.0,2.0080321285140563,0,165.44071428571428,157.24571428571429
21,SCI_TMT,3,7,30,8,14,32.57142857142857,3.5206917850525015,0,170.8045918367347,155.26632653061225
22,SCI_TMT,3,9,30,8,17,24.0,3.6736898973527823,0,170.54705882352937,162.26554621848734
23,SCI,7,10,30,10,44,30.113636363636363,12.220992436819774,0,141.5965909090909,115.87727272727274
24,SCI,7,1,30,10,76,34.71052631578947,24.389792899408285,0,133.56597744360894,86.71597744360902
25,SCI,7,2,30,10,1,37.0,0.340762571375944,0,160.0857142857143,151.87142857142857
26,SCI,7,3,30,10,14,20.0,2.5882787946015897,0,120.23214285714282,45.512244897959185
27,SCI,7,4,99,10,66,51.696969696969695,31.48182321461524,0,177.09285714285716,133.97316017316024
28,SCI,7,5,60,10,19,35.68421052631579,6.268491124260354,0,177.20300751879694,140.46691729323308
29,SCI,7,6,60,8,0,0.0,0.0,0,,
30,SCI,7,7,60,8,60,27.483333333333334,15.226223453370269,0,146.06416666666664,86.64071428571427
31,SCI,7,8,30,15,19,29.210526315789473,5.122761676204541,0,95.28082706766915,65.20150375939849
32,SCI,7,9,30,10,76,31.236842105263158,21.944906637086337,0,104.15592105263158,84.15563909774437
33,SCI_TMT,7,1,50,15,3,69.33333333333333,1.922721390275467,0,121.18333333333334,49.72857142857143
34,SCI_TMT,7,2,50,15,41,45.609756097560975,17.286004806803476,0,160.87369337979092,101.05087108013936
35,SCI_TMT,7,3,90,30,119,33.36974789915966,36.836734693877546,0,169.3206482593037,109.96362545018002
36,SCI_TMT,7,4,90,30,2,29.0,0.5360443622920518,0,175.93571428571428,90.57857142857142
37,SCI_TMT,7,5,120,10,8,51.5,3.7993360383622274,0,167.33125,134.31964285714287
38,SCI_TMT,7,6,50,10,10,30.9,2.8474014006634722,0,159.375,129.27142857142854
39,SCI_TMT,7,7,70,10,105,31.304761904761904,30.407030527289546,0,151.54646258503405,95.82149659863941
40,SCI_TMT,7,8,120,15,36,36.02777777777778,11.989277130708079,0,159.47123015873012,110.4702380952381
41,SCI_TMT,7,9,120,15,73,24.63013698630137,15.502672874633557,0,157.0430528375735,126.30978473581212
42,SCI,14,10,80,14,67,29.47761194029851,18.249861393457774,0,103.13731343283581,66.58656716417912
43,SCI,14,1,60,15,80,33.9,24.72647702407002,0,135.4688392857143,77.1425
44,SCI,14,2,80,20,17,44.05882352941177,6.876606683804627,0,115.31092436974788,60.21428571428572
45,SCI,14,3,80,14,8,37.625,2.7808573540280856,0,150.93660714285713,118.53214285714284
46,SCI,14,4,80,14,218,21.954128440366972,44.22472740713362,0,127.07876802096983,60.64056356487549
47,SCI,14,5,80,14,15,30.666666666666668,4.263206672845228,0,176.77523809523805,131.3657142857143
48,SCI,14,6,80,14,7,42.142857142857146,2.720398376982663,0,171.16632653061222,137.05714285714285
49,SCI,14,7,80,14,45,28.666666666666668,11.92457016084304,0,130.5469841269842,83.3177777777778
50,SCI,14,8,80,14,35,36.8,11.906082455167313,0,60.77836734693878,33.48244897959183
51,SCI,14,9,80,14,121,27.90909090909091,31.222263313609467,0,102.59970484061395,67.82125147579693
52,SCI_TMT,14,10,80,40,11,38.81818181818182,3.9391143911439115,0,111.94999999999999,47.88571428571429
53,SCI_TMT,14,1,80,14,85,27.435294117647057,21.10025334781035,0,118.79151260504212,80.98504201680673
54,SCI_TMT,14,2,50,20,43,35.02325581395349,13.859745996686915,0,138.14568106312294,88.47674418604649
55,SCI_TMT,14,3,50,20,32,36.5,10.76299299668264,0,140.18102678571432,87.94285714285714
56,SCI_TMT,14,4,80,30,45,44.111111111111114,18.301678037986356,0,127.62476190476188,69.35333333333334
57,SCI_TMT,14,5,100,30,5,100.0,4.615100609193281,0,122.92857142857142,70.75714285714284
58,SCI_TMT,14,6,100,30,64,27.609375,14.455170157068062,0,148.94531250000003,91.38191964285711
59,SCI_TMT,14,7,100,20,23,43.52173913043478,9.215614067390904,0,151.45,89.82111801242237
60,SCI_TMT,14,8,80,40,26,29.653846153846153,7.087699944842801,0,147.07005494505495,80.06648351648352
61,SCI,21,10,80,30,87,30.057471264367816,24.217447675495464,0,123.50246305418713,50.151067323481115
62,SCI,21,1,80,40,77,49.116883116883116,34.767420481706196,0,146.2620593692022,54.37050092764379
63,SCI,21,2,60,40,36,52.97222222222222,17.64760318341662,0,112.83750000000002,43.065079365079356
64,SCI,21,3,120,40,78,52.98717948717949,37.47053490480508,0,150.49743589743588,49.63681318681319
65,SCI,21,5,120,40,42,42.0,13.422614518338152,0,176.65442176870746,121.58979591836732
66,SCI,21,6,120,40,0,0.0,0.0,0,,
67,SCI,21,7,100,40,27,36.592592592592595,9.132926603808468,0,130.38201058201054,54.815343915343924
68,SCI,21,9,80,30,58,28.82758620689655,15.495829471733085,0,127.28091133004926,82.02142857142857
69,SCI_TMT,21,10,80,40,39,36.282051282051285,13.089731729879741,0,115.1783882783883,39.14652014652014
70,SCI_TMT,21,1,80,30,60,33.53333333333333,18.218036943136546,0,142.1863095238095,83.07333333333334
71,SCI_TMT,21,2,80,40,68,36.6764705882353,23.032877724418174,0,147.97993697478992,80.18823529411763
72,SCI_TMT,21,3,80,40,60,38.63333333333333,21.486837226548015,0,168.1545238095238,91.04833333333332
73,SCI_TMT,21,4,80,40,97,25.8659793814433,23.179970436067997,0,108.98549337260674,33.748159057437405
74,SCI_TMT,21,5,80,40,86,41.74418604651163,32.70176717070505,0,174.29360465116278,61.49335548172757
75,SCI_TMT,21,6,80,40,51,28.568627450980394,13.463315468490114,0,155.82605042016806,80.81680672268905
76,SCI_TMT,21,8,80,40,165,26.272727272727273,40.057290704121236,0,136.52653679653673,61.041818181818165
77,SCI,28,10,80,30,91,27.78021978021978,23.377103754392454,0,146.3102825745683,76.8307692307692
78,SCI,28,1,80,30,67,37.940298507462686,22.684276280563985,0,136.41780383795304,75.2861407249467
79,SCI,28,2,80,30,71,56.183098591549296,36.901017576318225,0,146.3659959758551,50.05372233400402
80,SCI,28,3,80,30,152,33.73684210526316,42.28929572818736,0,138.89680451127822,54.03562030075189
81,SCI,28,5,80,30,11,41.18181818181818,4.195221337284682,0,162.69675324675325,116.6116883116883
82,SCI,28,6,80,30,4,38.25,1.4150943396226416,0,135.29999999999998,56.67857142857143
83,SCI,28,7,80,30,80,37.5625,27.798334875115632,0,109.13500000000002,44.16571428571429
84,SCI,28,9,80,30,44,31.136363636363637,12.673450508788159,0,106.70227272727276,57.511688311688296
85,SCI_TMT,28,10,80,30,60,50.666666666666664,28.158577250833645,0,139.61845238095233,36.28023809523809
86,SCI_TMT,28,1,80,30,46,51.80434782608695,22.048482605477425,0,147.8453416149068,61.86801242236025
87,SCI_TMT,28,2,80,30,73,42.013698630136986,28.086080586080588,0,164.72808219178094,104.73620352250484
88,SCI_TMT,28,3,80,30,62,35.95161290322581,20.619796484736355,0,138.84804147465434,65.15460829493088
89,SCI_TMT,28,4,80,30,102,35.254901960784316,33.27165062916359,0,144.60581232492996,50.85448179271714
90,SCI_TMT,28,5,80,30,129,31.74418604651163,36.998554391037224,0,171.35287929125138,102.55049833887047
91,SCI_TMT,28,6,80,30,94,32.95744680851064,28.679874097389373,0,136.1044832826748,53.2015197568389
92,SCI_TMT,28,8,80,30,109,26.045871559633028,21.39089813140446,0,140.97365661861073,86.37693315858454
